ProductID,Product Category,Product Sub-Category,Product Name,Product Container
31,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box
32,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box
33,Technology,Telephones and Communication,Accessory37,Wrap Bag
34,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack
35,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum
36,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box
37,Furniture,Chairs & Chairmats,Hon Every-Day® Chair Series Swivel Task Chairs,Jumbo Drum
38,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box
39,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Jumbo Drum
40,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Small Box
41,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box
42,Technology,Telephones and Communication,6160,Small Box
43,Office Supplies,Labels,Avery 49,Small Box
44,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box
45,Technology,Telephones and Communication,Timeport L7089,Small Box
46,Office Supplies,Labels,Avery 510,Small Box
47,Office Supplies,Paper,Xerox 1881,Small Box
48,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack
49,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag
50,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag
51,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Small Box
52,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box
53,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box
54,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box
55,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box
56,Technology,Telephones and Communication,Accessory4,Wrap Bag
57,Office Supplies,Paper,Personal Creations™ Ink Jet Cards and Labels,Small Box
58,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box
59,Office Supplies,Paper,Xerox 1966,Small Box
60,Office Supplies,Paper,Xerox 213,Small Box
61,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack
62,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box
63,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag
64,Office Supplies,Storage & Organization,Crate-A-Files™,Small Box
65,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack
66,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box
67,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box
68,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box
69,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box
70,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box
71,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum
72,Office Supplies,Paper,Xerox 1936,Small Box
73,Office Supplies,Paper,Xerox 214,Small Box
74,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box
75,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box
76,Office Supplies,Paper,Xerox 1904,Small Box
77,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box
78,Office Supplies,Paper,Xerox 217,Small Box
79,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag
80,Office Supplies,Appliances,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box
81,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box
82,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum
83,Office Supplies,Paper,Xerox 1887,Small Box
84,Office Supplies,Paper,Xerox 1891,Small Box
85,Office Supplies,Labels,Avery 506,Small Box
86,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box
87,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box
88,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box
89,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag
90,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box
91,Furniture,Office Furnishings,"Linden® 12"" Wall Clock With Oak Frame",Small Box
92,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag
93,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag
94,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box
95,Technology,Telephones and Communication,600 Series Flip,Small Box
96,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box
97,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Small Box
98,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box
99,Office Supplies,Labels,Avery 487,Small Box
100,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,Jumbo Box
101,Office Supplies,Binders and Binder Accessories,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Small Box
102,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box
103,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",Jumbo Box
104,Technology,Telephones and Communication,5125,Small Box
105,Furniture,Office Furnishings,Electrix Halogen Magnifier Lamp,Large Box
106,Technology,Office Machines,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Medium Box
107,Office Supplies,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings,Small Box
108,Technology,Office Machines,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Medium Box
109,Furniture,Chairs & Chairmats,Hon GuestStacker Chair,Jumbo Drum
110,Furniture,Office Furnishings,Eldon® Wave Desk Accessories,Small Box
111,Technology,Copiers and Fax,Sharp AL-1530CS Digital Copier,Large Box
112,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum
113,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Small Box
114,Office Supplies,Pens & Art Supplies,Newell 323,Wrap Bag
115,Furniture,Chairs & Chairmats,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jumbo Drum
116,Office Supplies,Paper,Spiral Phone Message Books with Labels by Adams,Wrap Bag
117,Office Supplies,Appliances,Holmes 99% HEPA Air Purifier,Medium Box
118,Office Supplies,Paper,Xerox 224,Small Box
119,Office Supplies,Paper,Xerox 1906,Small Box
120,Office Supplies,Paper,Xerox 188,Small Box
121,Office Supplies,Paper,Xerox 1932,Small Box
122,Office Supplies,Binders and Binder Accessories,GBC Linen Binding Covers,Small Box
123,Office Supplies,Binders and Binder Accessories,GBC Recycled Grain Textured Covers,Small Box
124,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",Jumbo Box
125,Technology,Computer Peripherals,"Fellowes Basic 104-Key Keyboard, Platinum",Small Box
126,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Small Box
127,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Jumbo Box
128,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum
129,Office Supplies,Pens & Art Supplies,Newell 327,Wrap Bag
130,Office Supplies,Paper,Xerox 1893,Small Box
131,Furniture,Chairs & Chairmats,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Jumbo Drum
132,Furniture,Office Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Wrap Bag
133,Furniture,Office Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",Small Box
134,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Jumbo Box
135,Furniture,Office Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Medium Box
136,Office Supplies,Paper,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Wrap Bag
137,Technology,Computer Peripherals,"Memorex Slim 80 Minute CD-R, 10/Pack",Small Pack
138,Furniture,Office Furnishings,Aluminum Document Frame,Small Pack
139,Technology,Computer Peripherals,"Memorex 80 Minute CD-R Spindle, 100/Pack",Small Pack
140,Office Supplies,Storage & Organization,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Small Box
141,Technology,Telephones and Communication,Accessory36,Small Pack
142,Office Supplies,Paper,Xerox 20,Small Box
143,Office Supplies,Binders and Binder Accessories,Surelock™ Post Binders,Small Box
144,Office Supplies,Pens & Art Supplies,Colorific® Watercolor Pencils,Wrap Bag
145,Office Supplies,"Scissors, Rulers and Trimmers","*Staples* vLetter Openers, 2/Pack",Wrap Bag
146,Furniture,Chairs & Chairmats,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Jumbo Drum
147,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Jumbo Box
148,Furniture,Office Furnishings,Eldon Econocleat® Chair Mats for Low Pile Carpets,Wrap Bag
149,Office Supplies,Pens & Art Supplies,Prang Drawing Pencil Set,Wrap Bag
150,Technology,Telephones and Communication,T39m,Small Box
151,Office Supplies,Paper,Xerox 1982,Small Box
152,Office Supplies,Paper,Xerox 1924,Small Box
153,Office Supplies,Pens & Art Supplies,Turquoise Lead Holder with Pocket Clip,Wrap Bag
154,Technology,Office Machines,Okidata ML395C Color Dot Matrix Printer,Jumbo Drum
155,Technology,Computer Peripherals,Microsoft Internet Keyboard,Small Box
156,Furniture,Chairs & Chairmats,Global Ergonomic Managers Chair,Jumbo Drum
157,Furniture,Chairs & Chairmats,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Jumbo Drum
158,Office Supplies,Paper,Xerox 1971,Small Box
159,Office Supplies,Storage & Organization,Eldon Portable Mobile Manager,Medium Box
160,Technology,Telephones and Communication,Accessory6,Small Pack
161,Office Supplies,Binders and Binder Accessories,Durable Pressboard Binders,Small Box
162,Technology,Computer Peripherals,Fellowes 17-key keypad for PS/2 interface,Small Box
163,Technology,Telephones and Communication,StarTAC ST7762,Small Box
164,Technology,Telephones and Communication,Accessory21,Wrap Bag
165,Office Supplies,Binders and Binder Accessories,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Small Box
166,Office Supplies,Appliances,Staples 6 Outlet Surge,Small Box
167,Office Supplies,Storage & Organization,Recycled Eldon Regeneration Jumbo File,Small Box
168,Technology,Computer Peripherals,Verbatim DVD-R 4.7GB authoring disc,Small Pack
169,Technology,Office Machines,Canon P1-DHIII Palm Printing Calculator,Medium Box
170,Office Supplies,Binders and Binder Accessories,GBC Binding covers,Small Box
171,Furniture,Chairs & Chairmats,"Global Stack Chair without Arms, Black",Jumbo Drum
172,Office Supplies,Paper,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Wrap Bag
173,Office Supplies,Binders and Binder Accessories,GBC Recycled Regency Composition Covers,Small Box
174,Technology,Telephones and Communication,Accessory29,Small Pack
175,Office Supplies,Pens & Art Supplies,SANFORD Major Accent™ Highlighters,Wrap Bag
176,Technology,Office Machines,Polycom ViaVideo™ Desktop Video Communications Unit,Large Box
177,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag
178,Technology,Telephones and Communication,Accessory24,Small Pack
179,Furniture,Office Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Small Box
180,Office Supplies,Storage & Organization,Recycled Steel Personal File for Standard File Folders,Small Box
181,Technology,Telephones and Communication,Accessory39,Small Pack
182,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Small Box
183,Office Supplies,Binders and Binder Accessories,GBC Standard Plastic Binding Systems Combs,Small Box
184,Office Supplies,Paper,Xerox 1930,Small Box
185,Office Supplies,Labels,Avery 474,Small Box
186,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Jumbo Box
187,Technology,Office Machines,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Jumbo Drum
188,Technology,Computer Peripherals,"IBM 80 Minute CD-R Spindle, 50/Pack",Small Pack
189,Office Supplies,Envelopes,"Peel & Seel® Recycled Catalog Envelopes, Brown",Small Box
190,Technology,Computer Peripherals,TDK 4.7GB DVD+RW,Small Pack
191,Technology,Computer Peripherals,U.S. Robotics 56K Internet Call Modem,Small Box
192,Office Supplies,Paper,Xerox 190,Small Box
193,Office Supplies,Paper,Standard Line™ “While You Were Out” Hardbound Telephone Message Book,Wrap Bag
194,Technology,Telephones and Communication,CF 888,Small Box
195,Furniture,Office Furnishings,Dana Halogen Swing-Arm Architect Lamp,Large Box
196,Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Jumbo Drum
197,Technology,Office Machines,Lexmark Z25 Color Inkjet Printer,Jumbo Drum
198,Furniture,Chairs & Chairmats,Hon Multipurpose Stacking Arm Chairs,Jumbo Drum
199,Furniture,Chairs & Chairmats,Hon Olson Stacker Stools,Large Box
200,Furniture,Office Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Small Pack
201,Technology,Office Machines,Epson DFX5000+ Dot Matrix Printer,Jumbo Drum
202,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Small Box
203,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box
204,Office Supplies,Paper,Xerox 1892,Small Box
205,Office Supplies,Rubber Bands,Staples Paper Clips,Wrap Bag
206,Furniture,Chairs & Chairmats,"Metal Folding Chairs, Beige, 4/Carton",Jumbo Drum
207,Technology,Computer Peripherals,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Small Pack
208,Furniture,Bookcases,Bush Mission Pointe Library,Jumbo Box
209,Office Supplies,Paper,Xerox 1929,Small Box
210,Office Supplies,Storage & Organization,Home/Office Personal File Carts,Small Box
211,Office Supplies,Labels,Avery 507,Small Box
212,Technology,Telephones and Communication,i470,Small Box
213,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Small Box
214,Technology,Computer Peripherals,"Imation 3.5 IBM Diskettes, 10/Box",Small Pack
215,Furniture,Office Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",Small Pack
216,Technology,Telephones and Communication,300 Series Non-Flip,Small Box
217,Furniture,Office Furnishings,"Executive Impressions 13"" Chairman Wall Clock",Small Pack
218,Technology,Computer Peripherals,Micro Innovations 104 Keyboard,Small Box
219,Technology,Computer Peripherals,US Robotics 56K V.92 External Faxmodem,Small Box
220,Office Supplies,Storage & Organization,Fellowes Staxonsteel® Drawer Files,Small Box
221,Furniture,Office Furnishings,Telescoping Adjustable Floor Lamp,Large Box
222,Technology,Office Machines,Canon MP41DH Printing Calculator,Medium Box
223,Office Supplies,Storage & Organization,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Jumbo Drum
224,Technology,Telephones and Communication,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Medium Box
225,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Wrap Bag
226,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Small Box
227,Office Supplies,Paper,Xerox 21,Small Box
228,Office Supplies,Binders and Binder Accessories,GBC DocuBind TL200 Manual Binding Machine,Small Box
229,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",Jumbo Box
230,Office Supplies,Paper,Xerox 1940,Small Box
231,Office Supplies,Rubber Bands,Bagged Rubber Bands,Wrap Bag
232,Office Supplies,Paper,Xerox 1897,Small Box
233,Office Supplies,Binders and Binder Accessories,Poly Designer Cover & Back,Small Box
234,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,Medium Box
235,Office Supplies,"Scissors, Rulers and Trimmers","Acme® 8"" Straight Scissors",Small Pack
236,Office Supplies,Binders and Binder Accessories,Heavy-Duty E-Z-D® Binders,Small Box
237,Office Supplies,Storage & Organization,Deluxe Rollaway Locking File with Drawer,Small Box
238,Technology,Telephones and Communication,252,Small Box
239,Technology,Computer Peripherals,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack
240,Office Supplies,Binders and Binder Accessories,Wilson Jones DublLock® D-Ring Binders,Small Box
241,Office Supplies,Binders and Binder Accessories,Binder Posts,Small Box
242,Technology,Office Machines,Epson LQ-570e Dot Matrix Printer,Jumbo Drum
243,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Jumbo Box
244,Office Supplies,Binders and Binder Accessories,Fellowes PB300 Plastic Comb Binding Machine,Small Box
245,Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,Jumbo Box
246,Office Supplies,Labels,Avery 481,Small Box
247,Office Supplies,Binders and Binder Accessories,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Small Box
248,Technology,Telephones and Communication,StarTAC Series,Small Box
249,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Wrap Bag
250,Furniture,Chairs & Chairmats,Global Comet™ Stacking Armless Chair,Jumbo Drum
251,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Jumbo Drum
252,Technology,Computer Peripherals,"Fellowes Internet Keyboard, Platinum",Small Box
253,Furniture,Office Furnishings,Luxo Economy Swing Arm Lamp,Large Box
254,Office Supplies,Storage & Organization,Acco Perma® 2700 Stacking Storage Drawers,Small Box
255,Office Supplies,Storage & Organization,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Small Box
256,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Large Box
257,Technology,Computer Peripherals,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Small Pack
258,Office Supplies,Binders and Binder Accessories,Lock-Up Easel 'Spel-Binder',Small Box
259,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Wrap Bag
260,Office Supplies,Storage & Organization,"Tenex File Box, Personal Filing Tote with Lid, Black",Small Box
261,Office Supplies,Rubber Bands,Assorted Color Push Pins,Wrap Bag
262,Office Supplies,Paper,HP Office Paper (20Lb. and 87 Bright),Small Box
263,Office Supplies,Rubber Bands,Staples Vinyl Coated Paper Clips,Wrap Bag
264,Office Supplies,Pens & Art Supplies,Newell 310,Wrap Bag
265,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,Small Box
266,Furniture,Office Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge",Small Pack
267,Technology,Telephones and Communication,8860,Small Box
268,Office Supplies,Paper,Array® Memo Cubes,Wrap Bag
269,Office Supplies,"Scissors, Rulers and Trimmers","Fiskars 8"" Scissors, 2/Pack",Small Pack
270,Office Supplies,Pens & Art Supplies,12 Colored Short Pencils,Wrap Bag
271,Office Supplies,Storage & Organization,Pizazz® Global Quick File™,Small Box
272,Technology,Computer Peripherals,Imation 5.2GB DVD-RAM,Small Pack
273,Office Supplies,Storage & Organization,Portable Personal File Box,Small Box
274,Office Supplies,Paper,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",Wrap Bag
275,Office Supplies,Binders and Binder Accessories,Ibico Covers for Plastic or Wire Binding Elements,Small Box
276,Office Supplies,Storage & Organization,Tennsco Double-Tier Lockers,Jumbo Drum
277,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Wrap Bag
278,Office Supplies,"Scissors, Rulers and Trimmers","Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Small Pack
279,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack
280,Technology,Computer Peripherals,PC Concepts 116 Key Quantum 3000 Keyboard,Small Box
281,Technology,Office Machines,Epson Stylus 1520 Color Inkjet Printer,Jumbo Drum
282,Office Supplies,Labels,Avery 494,Small Box
283,Office Supplies,Binders and Binder Accessories,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Small Box
284,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Small Box
285,Technology,Office Machines,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Small Box
286,Office Supplies,Binders and Binder Accessories,Cardinal Poly Pocket Divider Pockets for Ring Binders,Small Box
287,Technology,Copiers and Fax,Canon PC1060 Personal Laser Copier,Large Box
288,Office Supplies,Rubber Bands,Sterling Rubber Bands by Alliance,Wrap Bag
289,Office Supplies,Pens & Art Supplies,Newell 312,Wrap Bag
290,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Small Pack
291,Office Supplies,Binders and Binder Accessories,"Avery Flip-Chart Easel Binder, Black",Small Box
292,Technology,Telephones and Communication,R280,Small Box
293,Technology,Telephones and Communication,Accessory9,Small Pack
294,Office Supplies,Storage & Organization,Tennsco Industrial Shelving,Large Box
295,Office Supplies,Rubber Bands,Staples Bulldog Clip,Wrap Bag
296,Technology,Computer Peripherals,"Micro Innovations Micro 3000 Keyboard, Black",Small Box
297,Office Supplies,Paper,Xerox 1882,Small Box
298,Office Supplies,"Scissors, Rulers and Trimmers","Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Small Pack
299,Furniture,Office Furnishings,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Medium Box
300,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Small Box
301,Furniture,Tables,Hon 94000 Series Round Tables,Jumbo Box
302,Furniture,Chairs & Chairmats,"Global High-Back Leather Tilter, Burgundy",Jumbo Drum
303,Furniture,Office Furnishings,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Small Pack
304,Office Supplies,Rubber Bands,Stockwell Push Pins,Wrap Bag
305,Technology,Telephones and Communication,8260,Small Box
306,Technology,Telephones and Communication,3390,Small Box
307,Furniture,Chairs & Chairmats,"Global Deluxe Stacking Chair, Gray",Jumbo Drum
308,Furniture,Tables,Bevis 36 x 72 Conference Tables,Jumbo Box
309,Furniture,Office Furnishings,"Howard Miller 16"" Diameter Gallery Wall Clock",Small Box
310,Office Supplies,Binders and Binder Accessories,"ACCOHIDE® 3-Ring Binder, Blue, 1""",Small Box
311,Office Supplies,Binders and Binder Accessories,"Wilson Jones Hanging View Binder, White, 1""",Small Box
312,Office Supplies,Pens & Art Supplies,Boston 1730 StandUp Electric Pencil Sharpener,Small Pack
313,Technology,Telephones and Communication,Accessory31,Small Pack
314,Technology,Telephones and Communication,Accessory8,Small Pack
315,Office Supplies,Appliances,Fellowes Command Center 5-outlet power strip,Small Box
316,Technology,Telephones and Communication,Accessory12,Small Box
317,Furniture,Chairs & Chairmats,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Jumbo Drum
318,Office Supplies,Binders and Binder Accessories,GBC DocuBind TL300 Electric Binding System,Small Box
319,Office Supplies,Binders and Binder Accessories,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Small Box
320,Technology,Computer Peripherals,TDK 4.7GB DVD-R,Small Pack
321,Office Supplies,Paper,Xerox 1977,Small Box
322,Furniture,Office Furnishings,DAX Solid Wood Frames,Medium Box
323,Office Supplies,Appliances,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,Large Box
324,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Small Box
325,Office Supplies,Envelopes,Multimedia Mailers,Small Box
326,Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Small Box
327,Office Supplies,Binders and Binder Accessories,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Small Box
328,Office Supplies,Binders and Binder Accessories,"DXL™ Angle-View Binders with Locking Rings, Black",Small Box
329,Office Supplies,Binders and Binder Accessories,Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Small Box
